序号,产品类别,产品名称,品牌,产品规格/型号,生产厂家,使用对象年龄,使用对象性别,使用时是否有成人看护,是否有成人对其进行安全教育,是否能够认识到产品存在危害,第一次使用该产品或类似产品,使用环境,使用方式,爆炸危害,产品存在的二级危害因素,产品存在的三级危害因素,导致的伤害,伤害事件发生的时间,备注（事件概述）,事件链接
307,儿童用品,儿童床,无,无,无,14岁及以下,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,卡伤,,在福州市鼓楼区通湖路通湖公寓，一名3岁左右女童自己在床上玩耍时不慎将头伸进床头护栏内。,
308,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,广西钦州又一电动车仓库起火，200余辆电动车被烧毁。,
309,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,为了证明胆子大，万宁一11岁小女孩和朋友打赌一口气吞下7颗磁力珠，造成肠梗阻。,
310,文教体育用品,电动平衡车,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,机械危害,动能危害,移动状态撞击,摔伤,,绍兴的金先生买了一辆小米平衡车，刚过了两天，用车时就摔了一跤，脸上缝了十几针。小米方面表示，金先生是进行了急加速，平衡车为了限速，进行了后仰。,
311,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,吉安县望族名家小区25栋3单元停放的一辆正在充电的电动车突然起火，并引燃边上停放的多辆电动车。,
312,交通工具及相关产品,电动自行车电池,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,铁芯发热,烧伤,,在江苏南京河西大街明基医院北门附近，一辆黑色小轿车突然起火爆燃，驾驶员跳车受伤，经证实，事故原因为乘客携带电动车锂电池组爆炸引发。,
313,信息技术产品,手机充电器,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,触电危害,漏电,财产损失,,浙江省台州市三门县一住户家中起火了，原因就是因为手机充电器长期未拔，所幸未造成人员伤亡。,http://www.119.cn/content/201908/26/c112899.html
314,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,食道阻塞,,8岁女童误吞两颗磁力珠，卡在彤彤舌根的会厌谷部位。由于卡住时间长，磁力珠已经与喉部软组织粘连在一起。,https://baijiahao.baidu.com/s?id=1642463164584222451&wfr=spider&for=pc
315,文教体育用品,电动滑板车,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,机械危害,动能危害,移动状态撞击,财产损失,,长春市民网购电动滑板车三年没有使用，近日拿出来充电不到一个小时，就冒烟起火导致火灾。,http://news.163.com/19/0827/11/ENJ6FGRM00019K82.html
316,家用电器及电器附件,抽油烟机,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,财产损失,,南昌市民正在厨房准备午餐，美的抽油烟机玻璃面板突然爆裂，碎玻璃散落一地。,http://www.sohu.com/a/336388946_120045059
317,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烧伤,,上海市民家中正在充电的电动自行车凌晨起火，两人头面部、手部、脖颈部多处烧伤，烧伤面积分别为7%、21%，并伴随吸入性损伤。,https://www.thepaper.cn/newsDetail_forward_4279249
318,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,柳州市一小区17栋发生一起火灾，疑因有业主在楼梯间的杂物房给电动车充电时引发火灾。,http://www.sohu.com/a/336692796_115423
319,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,南京市一小区内的一个车棚发生火灾，原因为私拉电线给电动车充电引发，火灾烧毁了十三辆电动车。,http://news.163.com/19/0828/08/ENLCVFGP00019K82.html
320,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,绵阳一小区16楼一住户家中因空调外机起火未及时发现导致火灾。,http://news.163.com/19/0829/08/ENNV960K00019K82.html
321,信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,广东中山市一小区业主郭先生把手机放在客厅沙发上充电然后去睡觉，不久手机发生爆炸起火。,http://www.sohu.com/a/337526094_120045059
322,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,广宁县城中华西路怡景花园小区内，一楼某住户把电动车放进家里进行充电，不慎着火。,https://www.thepaper.cn/newsDetail_forward_4297032
323,信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,烧伤,,上海吴先生睡觉时不小心将充电的手机压在身下，手机起火，吴先生背部被烧伤。,http://ish.xinmin.cn/xnjx/2019/08/31/31578150.html
324,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,江苏海安人民西路一家小牛电动专卖店突发大火，知情人士透露或为锂电池充电爆炸引起。,http://www.sohu.com/a/337841398_120053498
325,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,闽侯一名三岁女童误吞22颗磁力珠，造成肠穿孔。,https://www.thepaper.cn/newsDetail_forward_4306052
326,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,东莞一民房一楼疑电动自行车充电引发火灾。,https://baijiahao.baidu.com/s?id=1643438942081418961&wfr=spider&for=pc
327,家用电器及电器附件,冰箱,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,重庆市民家里的冰箱突然起火燃烧。,http://mini.eastday.com/a/190901100053366.html
328,交通工具及相关产品,电动自行车电池,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烧伤,,江西省南昌市的周女士一家还在睡梦中，一块正在充电的电动车电池爆炸起火了，发出噼里啪啦的声响，周女士在救火时被烧伤。,http://baijiahao.baidu.com/s?id=1643555808284211238&wfr=spider&for=pc
329,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,散热不良,财产损失,,芜湖一女子驾驶一辆电动车行驶中突然起火。,http://baijiahao.baidu.com/s?id=1643655629033820764&wfr=spider&for=pc
330,儿童用品,扭蛋机,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,卡伤,,小男孩将右手从扭蛋机出口伸进了机器。狭窄的口子刚好容得下洋洋细小的手臂，然而当他将整个前臂都伸进了机器后，却拔不出来了。,https://cq.qq.com/a/20190903/000758.htm
331,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,温州一名5岁男孩吞了46颗巴克球，导致胃肠穿孔10处。,http://news.66wz.com/system/2019/09/04/105192212.shtml
332,信息技术产品,充电宝,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,电气爆炸,短路,财产损失,,南京飞厦门的MU2809航班，因一名旅客携带的充电宝自燃，在起飞后返航南京。,https://finance.sina.com.cn/chanjing/gsnews/2019-09-04/doc-iicezzrq3356362.shtml
333,交通工具及相关产品,电动自行车电池,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烧伤,,电动自行车的电瓶在客厅充电时起火，一对50多岁的夫妇被迫从8楼家中翻窗逃生，夫妇俩分别被困在用来放置空调外机的狭窄窗沿上，其80多岁的父母被困在起火房间内。,https://sh.qq.com/a/20190905/001613.htm
334,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,青岛5岁的男孩误吞14颗磁力珠，造成胃肠多处穿孔。,https://xw.qq.com/amphtml/20190906A024LI00
335,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,淮安7岁女童误吞9颗磁铁，这些磁铁彼此吸引，造成胃肠4处穿孔。,http://www.sohu.com/a/339018716_255783
336,家用电器及电器附件,净水机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,铅及其化合物,中毒,,长沙市民家中两个孩子因为饮用净水机里的水，导致铅中毒。,https://tech.sina.com.cn/e/r/2019-09-05/doc-iicezueu3511899.shtml?cre=tianyi&mod=pctech&loc=17&r=25&rfunc=76&tj=none&tr=25
337,儿童用品,儿童床,无,无,无,14岁及以下,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,卡伤,,衡阳一名4岁小男孩因好奇将小手指卡塞进儿童床支架的金属孔内，导致手指被卡。,https://hn.qq.com/a/20190905/004317.htm
338,家用电器及电器附件,蓄电池,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,太原宋女士家中遥控器里的一节南孚电池炸了，其正极板一头已被炸开。,http://www.tynews.com.cn/system/2019/09/05/030149035.shtml
339,交通工具及相关产品,电动自行车电池,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,深圳一租客王某为贪图方便，在租房内给电动自行车电池充电。在充电时长约6小时后，电池突然爆炸并冒出大量火花和浓烟。,"https://mbd.baidu.com/newspage/data/landingsuper?context=%7B""nid""%3A""news_10232874898422413482""%7D&n_type=1&p_from=4"
340,家用电器及电器附件,电灭蚊器,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,辐射危害,射线辐射危害,紫外线辐射,视力受损,,温州两个孩子把灭蚊灯当成了玩具，白天一直围着灭蚊灯玩，家中的老人也坐在灭蚊灯旁边看着。老人和两个孩子突然出现眼睛疼痛难忍、睁眼困难的症状，医生诊断为“电光性眼炎”。,http://www.wzrb.com.cn/article967219_256show.html
341,交通工具及相关产品,电动车充电柜,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,深圳宝安一家厂房后面的电动车集中充电点发生火灾，68辆电动车、3辆汽车被烧毁，原因为电动自行车充电时起火。,http://3g.163.com/dy/article/EONTNCI20514MI6D.html
342,信息技术产品,充电宝,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,电气爆炸,短路,财产损失,,西安地铁三号线行驶到延平门—科技路区间时，由于一乘客的充电宝冒烟，现场乘客使用了列车灭火器，造成车厢内烟雾较大，乘客被紧急疏散。,http://news.hsw.cn/system/2019/0910/1113852.shtml
343,家用电器及电器附件,太阳能热水器,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,机械危害,潜在能量危害,压力空间失控,烫伤,,定州一5岁女童躲在房顶的太阳能集热管下面荫凉里，一根太阳能集热管突然发生了爆裂，女童被80%烫伤。,https://new.qq.com/omn/20190911/20190911A0MZV300.html
344,交通工具及相关产品,电动自行车电池,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,上海宝山区一出租房发生火灾，起火原因疑为电瓶车的电瓶在充电时起火，所幸扑救及时，未造成人员伤亡。,http://baijiahao.baidu.com/s?id=1644429955401980287&wfr=spider&for=pc
345,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,触电危害,漏电,卡伤,,北京延庆区一名两岁左右的男孩因贪玩钻进了洗衣机滚筒，结果右脚被死死卡住。,http://baijiahao.baidu.com/s?id=1644430180733551363&wfr=spider&for=pc
346,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,阜城天瑞名城小区内一辆电动车突然起火，殃及停放在附近的一辆轿车。这次火情是由于小区业主私自飞线给电动车充电造成的。,https://www.fynews.net/article-180964-1.html
347,交通工具及相关产品,电动车充电柜,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,短路,财产损失,,深圳一城中村充电箱起火，因电池是共享的，使用频率较高，在使用过程中会由于外力碰撞产生裂缝，导致雨水进入电池发生短路而引发火灾。,http://www.sohu.com/a/340911961_355800
348,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,平远一名3岁女童误吞了6颗磁力珠造成肠穿孔。,http://www.sohu.com/a/340960414_99959932
349,家具及建筑装饰装修材料,紫外线灯,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,辐射危害,射线辐射危害,紫外线辐射,视力受损,,光明区公明街道某小学里，有学生被误开的紫外线灯“晒伤”。经社康诊治后发现，多名学生角膜出现灼伤，所幸灯光照射时间不长，问题不算严重。,http://3g.163.com/local/article/EP9HNVF304178D6R.html
350,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,广西南宁江南区一市民因私拉电线充电致电动自行车失火，现场烧毁电动自行车一辆、烧损电动自行车2辆，无人员伤亡。,http://baijiahao.baidu.com/s?id=1644935351673841844&wfr=spider&for=pc
351,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,伊通3岁女童误吞12粒磁力珠，这些磁力珠进入肠道吸附在一起后，造成5处肠穿孔、1处肠坏死引起严重腹膜炎。,https://www.thepaper.cn/newsDetail_forward_4444702
352,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,汉口3岁男童误将23颗巴克球磁珠吞入腹中。磁珠在腹中互相吸引，串成“糖葫芦”，孩子差点因此胃肠壁穿孔。,http://www.cjrbapp.cjn.cn/p/124047.html
353,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,触电危害,漏电,卡伤,,江北区五星花园小区一3岁男孩因贪玩，钻进洗衣机滚筒里被卡住了。,http://www.sohu.com/a/341561914_255783
354,家用电器及电器附件,冰箱,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,海秀中路某小区一住户家里冰箱着火，龙华消防大队金盘中队指战员赶到现场把火扑灭，火灾没有造成人员伤亡。,http://3g.163.com/dy/article/EPBMQ7TF0514TTO8.html
355,信息技术产品,充电宝,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,电气爆炸,短路,财产损失,,安溪宝龙国际社区1号楼1单元1602室发生火灾，经初步调查，火灾系因业主家中充电宝着火所致。,http://www.sohu.com/a/341537185_715673
356,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,南京秦淮区洪武路一小区的二楼平台冒出浓烟，很快明火窜出。起火点疑似为空调外机，有可能是电路问题引发的火情。,http://baijiahao.baidu.com/s?id=1645059671136995091&wfr=spider&for=pc
357,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,触电危害,漏电,卡伤,,信阳新县一民房内一2岁男童玩耍时被卡在洗衣机脱水桶里面。,http://henan.sina.cn/news/z/2019-09-19/detail-iicezzrq7032529.d.html?oid=o&vt=4&wm=9021_0001
358,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,平顶山市一民房起火，起火原因是一楼出口处电动车充电发生自燃。,http://henan.sina.com.cn/news/s/2019-09-21/detail-iicezzrq7486646.shtml?from=henan_ydph
359,家具及建筑装饰装修材料,淋浴房,无,无,无,不限年龄段,男女均可使用,否,否,否,否,高湿环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,划伤,,余杭阳女士洗完澡推开浴室门的时候，玻璃门突然炸了，导致她全身上下都有不少被玻璃划伤的伤口，尤其是手上的伤最严重。,http://baijiahao.baidu.com/s?id=1645400864084406391&wfr=spider&for=pc
360,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,触电危害,漏电,卡伤,,滨海新区古林街海宁园小区，有一名9岁女孩在家中玩捉迷藏时不慎卡在洗衣机里。,http://news.eastday.com/eastday/13news/auto/news/china/20190923/u7ai8828940.html
361,信息技术产品,充电宝,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,电气爆炸,短路,财产损失,,消费者向黑猫投诉平台反映，因产品质量问题，放在车内时自燃。,http://news.sina.com.cn/ts/2019-09-24/doc-iicezzrq8113124.shtml
362,家用电器及电器附件,燃气灶,无,无,无,14～60岁,男女均可使用,否,是,是,否,高温环境,可合理预见的误使用,机械危害,形状和表面性能危害,锐利边缘,财产损失,,消费者向黑猫投诉平台反映，买了一个多月的燃气灶台，今天在操作后近一小时左右，玻璃面板无故发生整体爆炸，玻璃散落台面，,http://news.sina.com.cn/ts/2019-09-24/doc-iicezzrq8192032.shtml
363,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,福建一小区居民停放在楼梯口的电动车充电时自燃引发火灾。,http://baijiahao.baidu.com/s?id=1645613648601585566&wfr=spider&for=pc
364,家具及建筑装饰装修材料,玻璃门,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,划伤,,南宁黄女士推开店铺玻璃门时，一扇沉重的钢化玻璃门突然碎裂，掉下来的玻璃碎块砸到她，导致头部、胳膊、手部多处被划伤流血，她为此到医院缝了8针。,http://baijiahao.baidu.com/s?id=1645725048113910890&wfr=spider&for=pc
365,家用电器及电器附件,抽油烟机,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,财产损失,,平顶山市民白先生家中的樱花牌抽烟机玻璃面板粉碎，油烟机下面的灶台及厨房的地面上布满了玻璃碎片，室内一片狼藉。,https://new.qq.com/omn/HNC20190/HNC2019092600188100.html
366,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,民泰龙泰苑A区一储藏室失火，起火的是该储藏室内的电动车，当时电动车正在充电。 ,http://news.lznews.cn/luzhong/zibo/201909/t20190926_11500800.html
367,信息技术产品,充电宝,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,电气爆炸,短路,财产损失,,消费者向黑猫投诉平台反映，跟朋友去餐厅吃饭时，有人借了小电的充电宝，使用当中自燃了，整个餐厅都是一股烧焦的胶皮味。,https://news.sina.cn/2019-09-28/detail-iicezzrq8989744.d.html?vt=4&pos=3
368,家用电器及电器附件,燃气灶,无,无,无,14～60岁,男女均可使用,否,是,是,否,高温环境,可合理预见的误使用,机械危害,形状和表面性能危害,锐利边缘,财产损失,,燃气灶玻璃面板发生爆裂，玻璃飞到了厨房里的各个角落，玻璃碎碴铺了满地。,http://baijiahao.baidu.com/s?id=1646096103439815094&wfr=spider&for=pc
