序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
80,树童英语培训机构无征兆停课,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355325885/,投诉,树童英语课程中心,退款,2020年11月30日交了英语培训机构19920元，2021年10月7日晚十点突然无征兆宣布停课。一个校区450多个学生，涉及金额高达至少500万以上。家长们退费无门，法人董事长直接一句话没钱。老师们也因拖欠工资无法管家长，请求媒体为民发声，为家长们讨回血汗钱……谢谢,处理中
81,树童英语停课疑似跑路,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355339944/,投诉,树童英语课程中心,退款,本人小孩在树童英语缴费11880元，国庆后刚被告知树童董事长李小静卷款潜逃，无法继续上课，暂停上课，远景校区校长老师也没人组织，现在都是家长齐心协力共同维权。,处理中
82,树童英语停课疑似跑路,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355343531/,投诉,树童英语课程中心,退款,2018年10月28日在海珠区宝岗大道942号201房自编A-2铺 树童英语海珠翠城校区签订了《树童金牌学员服务协议》，本应在2021年10月28日按照协议退回65360元，但改机构无故停止授课，投诉无门！,处理中
83,树童英语停课疑似跑路,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355348402/,投诉,树童英语课程中心,退款,本人与2020年12月31日/2021年2月28日共缴费11940给重庆树童英语培训机构（重庆莘融教育咨询有限公司）3年培训课程，于2021年3月份开始上课，2021年10月9日被告知，公司由于双减及经营不善倒闭，目前全国200多家门店一夜之间全部跑路，部分家长9月底还在缴费，一节课都还没有上过。,处理中
84,请领导帮我们要回血汗钱,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355357595/,投诉,树童英语课程中心,退款,因为给孩子报名了树童英语，最后一次缴费是9.26号，还没有使用,处理中
85,树童英语停课疑似跑路,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355357226/,投诉,树童英语课程中心,退款,原在树童缴费49800读完3年退回缴费的90%回来，现今只读了1年多一点学校老师没发工资，学校停课。,处理中
86,树童英语公园前校区,2021-10-05,https://tousu.sina.com.cn/complaint/view/17355268334/,投诉,树童英语课程中心,退款,树童英语机构不按约定时间退款 我是树童金牌会员，缴费68800享受免费3年的英语线下课程，合同期满全额退款，我在2021年4.24日申请退款，协议是申请3个月内退回款项，现已超3个月，多次电话联系负责人，一直没有没有退款的答复。 [投诉对象]树童英语课程中心 [投诉要求]合约到期,处理中
87,要求广州市番禺区博蔚教育培训中心有限公司退还剩余80节课的余款10360元,2021-10-14,https://tousu.sina.com.cn/complaint/view/17355409576/,投诉,树童英语课程中心,退款,2020年7月5日于广州市黄埔区锐丰广场的树童锐丰分公司为儿子林皓悦报树童英语周末基础班，交费15540元并签了合同，合同约定每年40周次课，连续服务3年，共120周次课。现树童锐丰校区因资金链断裂无法正常上课却不退还剩余80节课的余款10360元，我要求树童锐丰校区退还剩余80节课的余款10360元。(收款商户为广州市番禺区...,处理中
88,2020年9月13号报三年课程，现在需要退剩余两年未上课程。,2021-10-14,https://tousu.sina.com.cn/complaint/view/17355414521/,投诉,树童英语课程中心,退款,现在课程不符合预期，找校长退费，校长说没钱甩锅！希望退费！,处理中
89,树童欺诈，要求退款,2021-10-14,https://tousu.sina.com.cn/complaint/view/17355422412/,投诉,树童英语课程中心,退款,退款几个月了，还没退下来，希望有关单位能够尽快出面解决,处理中
90,树童英语停课疑似跑路,2021-10-15,https://tousu.sina.com.cn/complaint/view/17355424784/,投诉,树童英语课程中心,退款,我们是在树童英语（萧山金茂直营店）上课，1月份给两个孩子交费22480元参加课程游学，疫情之下转为正式课次。21年3月16日开始上课扣课时，现在上了半年。国家对培训班的政策，我八月份就开始申请退费（两个孩子继续上课到22年3月27日），退费剩余课次。8.18已经提交了退费申请，截至目前，收到的是树童关门的结果。请相...,处理中
91,要求乐融儿童之家早教托育机构退还剩余课程费用,2021-10-14,https://tousu.sina.com.cn/complaint/view/17355414193/,投诉,乐融儿童之家,退款,"本人于2019年10月15日购买了乐融儿童之家全日班一年课程,按计划于2020年10月左右上完全部课程并进入公办幼儿园入学。但是2019年12月中爆发疫情,影响了乐融入学时间,也因为这不可控因素无法于原计划时间完成全部课程。联系课程顾问被告知无法退还剩余全部课时费用。由于疫情缘故,这一时期履行的托管消费合同具有特定的时...",处理中
92,树童英语停课疑似跑路,2021-10-14,https://tousu.sina.com.cn/complaint/view/17355422065/,投诉,树童英语课程中心,退款,本人于2021年2月21日参加树童1280换购一年优惠换购活动，分别于2月28日缴纳活动定金2100元，3月25日缴纳余款15140元，共计17240元预订两年课程并换购一年，共计3年课程，如今只上课7节课，校区突然关门停课停工，导致无处退款,处理中
93,树童英语停课疑似跑路,2021-10-14,https://tousu.sina.com.cn/complaint/view/17355420885/,投诉,树童英语课程中心,退款,2020年7月被树童课程老师忽悠，14900元可以读三年，当时报名时孩子还有1880元三个月的课时。现在只学了一年，就倒闭了,处理中
94,树童英语停课疑似跑路,2021-10-14,https://tousu.sina.com.cn/complaint/view/17355422091/,投诉,树童英语课程中心,退款,本人于2021年5月交69800元用于树童英语游学，两年后返80％，现校区无法正常上课，也不退费,处理中
95,树童英语欺诈行,2021-10-17,https://tousu.sina.com.cn/complaint/view/17355454455/,投诉,树童英语课程中心,退款,2019年1月24日我女儿报读东莞了大朗树童英语课，金牌会员交费58800元，合同是3年后9.5折退费，2021年10月树童英语机构倒闭，具不退费，但是当时都签订了相关的合同以及证明，也有明确的退费数额规定，但是目前教育机构不退还费用，协商无效，所以请求法律的援助。希望得到公平公正的处理，退还我的学费。,处理中
96,不想要会员，却一直自动续费,2021-10-19,https://tousu.sina.com.cn/complaint/view/17355482312/,投诉,米兔儿童会员,退款,不想要会员，却一直自动续费，想把自动续费给关了,处理中
97,树童英语停课疑似跑路,2021-10-18,https://tousu.sina.com.cn/complaint/view/17355480695/,投诉,树童英语课程中心,退款,2019年7月10日在树童英语机构报读课程8600元，于2019年11月24日又交了学费5980元，到2021年5月16日还剩余学费5268.68元，之前由于回老家申请，7月份跟老师申请了退费，由树童总部打款到我的账户，一直没有退下来，现在校区经营不下去，但是没有负责人站出来处理我的退费，该校区所有的学费都是交到总部的，现在总部破产...,处理中
98,树童英语停课疑似跑路,2021-10-14,https://tousu.sina.com.cn/complaint/view/17355422658/,投诉,树童英语课程中心,退款,本人于2020年1月5日缴费3180元和2020年10月24日缴费9940给树童英语大石校区，报读了近三年的英语培训课程，截至2021年10月8日，剩余课时118节，剩余费用10381元，现因树童英语总部解散，树童英语大石校区受到影响，已经停课。我们辛辛苦苦赚的血汗钱用于小孩的教育培训就这样打水漂了，天理何容？大石校区根据家长的不完...,处理中
99,乐友母婴店欺骗消费者,2021-10-13,https://tousu.sina.com.cn/complaint/view/17355391627/,投诉,乐友孕婴童,退款,我于2009年在西安市高新大都荟乐友母婴店购买了514元的母婴用品，在收银台进行结算时，导购给我推销了188元的会员卡，说在后期都可以享受返现资格，我当时就多交了188元购买了一张，后来我因为搬家并没有及时去这家店继续消费，而当今年准备消费时，工作人员告知我卡已经过期了。这让我很愤怒，我深深感到了被欺骗，因为...,处理中
100,树童英语停课疑似跑路,2021-10-19,https://tousu.sina.com.cn/complaint/view/17355486675/,投诉,树童英语课程中心,退款,7月16在树童创课智未来校区现场交了10880的学费，2年课包，上了4节课，9月末被通知校区关闭，学费液不给退，希望能追回学费,处理中
101,树童英语停课疑似跑路,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355373061/,投诉,树童英语课程中心,退款,2021年1月10日交广州树童华信校区两年课时合共96节课，现只上了30节课，在没有任何书面通知下完全停课，负责人失联，校区物业已明确欠租和失联，疑似卷款跑路。,处理中
102,树童英语老板李小静骗12亿跑路！,2021-10-12,https://tousu.sina.com.cn/complaint/view/17355367099/,投诉,树童英语课程中心,退款,树童英语，全国跑了，骗了12亿元，全国线下培训有预谋关门，老板李小静恐吓家长，天天晚上直播嘲笑维权家长！,处理中
103,树童万科红校长国庆停办学校，无法退款,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355327299/,投诉,树童英语课程中心,退款,2020年12月13日购买为期2年半价值RMB13960的英语培训，2021年10月8日被老师告知学校停课停办，树童万科红负责人刘小娇趁国庆放假关门停办，并以迁校区为由忽悠老师和家长们，希望政府部门能维护400号人民群众的合法权益,处理中
104,树童英语停课疑似跑路,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355339655/,投诉,树童英语课程中心,退款,"校外培训机构树童英语在广州的大部分校区于10月7日起突然大规模普遍关店，无工作人员出面退费，疑似卷款跑路。根据新闻媒体""城事特搜""报道：仅广州某校区的初步统计，受害学生就有1500名，金额3000多万元。据不完全统计，树童全国有超过200个中心，在广州有54个校区。作为受害家长，已经通过当地派出所、司法局、教育局...",处理中
